=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_134108.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Refrigerante Antarctica Guaraná Zero Lata 350ml                                  | R$ 3.19
 ✅ Refrigerante Coca Cola Lata 220ml                                                | R$ 2.99
 ✅ Refrigerante Soda Limonada Zero Lata 350ml                                       | R$ 3.19
 ✅ Refrigerante Coca Cola Zero Lata 220ml                                           | R$ 2.99
 ✅ Licor Free Afrika Vanilla 900ml                                                  | R$ 44.90
 ✅ Licor Stock Curacau Red 720ml                                                    | R$ 49.90
 ✅ Licor Stock Creme Anisette 720ml                                                 | R$ 49.90
 ✅ Conhaque Presidente 970ml                                                        | R$ 16.98
 ✅ Licor Stock Frutas Silvestres 720ml                                              | R$ 49.90
 ✅ Conhaque De Alcatrão Sao João Da Barra 1 L                                       | R$ 26.90
 ✅ Licor Stock Curacau Blue 720ml                                                   | R$ 49.90
 ✅ Licor Stock Chocolate 720ml                                                      | R$ 49.90
 ✅ Licor Stock Caracau Fino 720ml                                                   | R$ 49.90
 ✅ Licor Stock Chocolate Branco 720ml                                               | R$ 69.90
 ✅ Conhaque Domecq 1 L                                                              | R$ 44.90
 ✅ Licor Jagermeister 700ml                                                         | R$ 135.90
 ✅ Licor Stock Cherrystock 720ml                                                    | R$ 49.90
 ✅ Licor Cointreau 700ml                                                            | R$ 140.00
 ✅ Licor Stock Gianduia 720ml                                                       | R$ 69.90
 ✅ Licor Amareto Del Urso 700ml                                                     | R$ 79.90
 ✅ Licor Golf Menta 900ml                                                           | R$ 28.90
 ✅ Licor 43 Diego Zamora 700ml                                                      | R$ 179.90
 ✅ Conhaque Macieira Royal 700ml                                                    | R$ 115.90
 ✅ Licor Free Afrika Marula 900ml                                                   | R$ 44.90
 ✅ Licor Taimbe Bananinha 900ml                                                     | R$ 44.90
 ✅ Espumante Santa Collina Moscatel 750ml                                           | R$ 44.90
 ✅ Refrigerante Pepsi Black Zero Pet 2 L                                            | R$ 8.49
 ✅ Refrigerante Conti Cola Pet 2 L                                                  | R$ 5.99
 ✅ Refrigerante Taubaiana Pet 2 L                                                   | R$ 4.75
 ✅ Refrigerante Schweppes Cítrus Lata 350ml                                         | R$ 3.79
 ✅ Espumante Aurora Proced Brut Chardonnay 750ml                                    | R$ 57.90
 ✅ Espumante Saint Germain Demi Branco 660ml                                        | R$ 30.90
 ✅ Espumante Saint Germain Brut Branco 660ml                                        | R$ 30.90
 ✅ Espumante Aurora Prosecco 750ml                                                  | R$ 49.90
 ✅ Espumante Aliança Rosé 750ml                                                     | R$ 69.90
 ✅ Coquetel Dulce Doce De Leite Com Pistache 500ml                                  | R$ 89.90
 ✅ Licor Ballena Morango Com Tequila 750ml                                          | R$ 138.00
 ✅ Licor Ballena Chocolate Caramelo Com Tequila 750ml                               | R$ 138.00
 ✅ Espumante Aliança Brut 750ml                                                     | R$ 69.90
 ✅ Licor Don Luiz Dulce Leche 750ml                                                 | R$ 84.90

   [NAVEGACAO] Acessando Página: 6 | URL: https://www.supercentralonline.com.br/departamentos/bebidas?page=6
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Conhaque De Alcatrão Sao João Da Barra 1 L                                       | R$ 26.90
 ✅ Licor Stock Frutas Silvestres 720ml                                              | R$ 49.90
 ✅ Conhaque Presidente 970ml                                                        | R$ 16.98
 ✅ Licor Stock Creme Anisette 720ml                                                 | R$ 49.90
 ✅ Licor Stock Curacau Red 720ml                                                    | R$ 49.90
 ✅ Água De Coco Kerococo Tp 200ml                                                   | R$ 3.75
 ✅ Água Mineral Minalba Com Gás 1,5 L                                               | R$ 3.99
 ✅ Água Mineral Minalba Sem Gás 510ml                                               | R$ 2.39
 ✅ Água Mineral Minalba Sem Gás 10 L                                                | R$ 17.98
 ✅ Água Mineral Minalba Com Gás 510ml                                               | R$ 2.69
 ✅ Água Mineral Nestlé Sem Gás Pureza Vital 1,5 L                                   | R$ 3.09
 ✅ Água Mineral Crystal Com Gás 1,5 L                                               | R$ 3.78
 ✅ Água Mineral São Lourenço Sem Gás 510ml                                          | R$ 0.99
 ✅ Água De Coco Sococo Tp 200ml                                                     | R$ 4.15
 ✅ Água De Coco Maguary Puro Coco Tp 1 L                                            | R$ 10.98
 ✅ Água Mineral Crystal Com Gás 500ml                                               | R$ 2.99
 ✅ Água Mineral Crystal Sem Gás 500ml                                               | R$ 2.39
 ✅ Água De Coco Kerococo Tp 1 L                                                     | R$ 9.98
 ✅ Água Mineral Crystal Sem Gás 1 L                                                 | R$ 3.39
 ✅ Água Mineral Crystal Sem Gás 1,5 L                                               | R$ 3.39
 ✅ Água Mineral Sem Gás Smart Water Zero Sódio 591ml                                | R$ 5.49
 ✅ Água Mineral Minalba Com Gás 310ml                                               | R$ 0.89
 ✅ Água Mineral Nestlé Sem Gás 6,3 L                                                | R$ 12.49
 ✅ Água Mineral Crystal Sem Gás 5 L                                                 | R$ 10.98
 ✅ Água Mineral Minalba Sem Gás 310ml                                               | R$ 2.05
 ✅ Água Mineral Minalba Sem Gás 5 L                                                 | R$ 10.99
 ✅ Água Mineral Bioleve Sem Gás 6 L                                                 | R$ 13.49
 ✅ Licor Stock Kiwi 720ml                                                           | R$ 49.90
 ✅ Conhaque Dreher 900ml                                                            | R$ 23.19
 ✅ Licor Stock Creme De Cassis 720ml                                                | R$ 49.90
 ✅ Água De Coco Quadrado Com Polpa Tp 1 L                                           | R$ 11.55
 ✅ Água De Coco Sococo Mais Tangerina Tp 200ml                                      | R$ 2.69
 ✅ Água De Coco Sococo Mais Uva Tp 200ml                                            | R$ 2.69
 ✅ Água De Coco Sococo Mais Frutas Vermelhas Tp 200ml                               | R$ 2.69
 ✅ Água De Coco Sococo Mais Maracujá Tp 200ml                                       | R$ 2.69
 ✅ Água Mineral Bioleve Sem Gás Gás Prime Pet 510ml                                 | R$ 2.35
 ✅ Água De Coco Maguary Puro Coco Tp 200ml                                          | R$ 2.89
 ✅ Água Mineral Bioleve Sem Gás Pet 1,5 L                                           | R$ 3.19
