=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_141715.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Macarrão Agnesi N54 Gnocchi 500g                                                 | R$ 15.39
 ✅ Macarrão Renata Veggie Spaguetti 8 500g                                          | R$ 15.18
 ✅ Macarrão Renata Orgânico Espaguetti 500g                                         | R$ 9.68
 ✅ Macarrão Famiglia Venturelli Talharim 500g                                       | R$ 7.99
 ✅ Macarrão Renata Superiore Capelli 500g                                           | R$ 10.98
 ✅ Azeitonas Verdes Vale Fértil Com Caroço 1 Kg                                     | R$ 45.90
 ✅ Azeitonas Verdes Vale Fértil Sem Caroço 160g                                     | R$ 14.98
 ✅ Macarrão Renata S/ Glúten Parafuso 500g                                          | R$ 5.89
 ✅ Macarrão Renata S/ Glúten Pena 500g                                              | R$ 5.89
 ✅ Azeitonas Verdes Vale Fértil Light Com Caroço 200g                               | R$ 13.98
 ✅ Macarrão Renata S/ Glúten Espaguete 500g                                         | R$ 5.89
 ✅ Macarrão Orsi Especial C/ Ovos Ave Maria 500g                                    | R$ 3.99
 ✅ Macarrão Orsi Especial C/ Ovos Parafuso 500g                                     | R$ 3.99
 ✅ Macarrão Orsi Especial C/ Ovos Espaguete 500g                                    | R$ 3.99
 ✅ Macarrão Orsi Especial C/ Ovos Padre Nosso 500g                                  | R$ 3.99
 ✅ Macarrão Orsi Semola Ave Maria Miuda 500g                                        | R$ 3.99
 ✅ Azeitonas Verdes Vale Fértil Com Caroço Sachê 100g                               | R$ 4.25
 ✅ Macarrão Orsi Especial C/ Ovos Penne 500g                                        | R$ 3.99
 ✅ Macarrão Da Roz Talharini N4 500g                                                | R$ 8.98
 ✅ Macarrão Da Roz Talharini N3 500g                                                | R$ 8.98
 ✅ Macarrão Da Roz C/ovos Tortilhone 500g                                           | R$ 3.59
 ✅ Azeitonas Temperadas Vale Fértil Sabor Mexicano 145g                             | R$ 13.98
 ✅ Macarrão Da Roz Gravata 500g                                                     | R$ 6.99
 ✅ Azeitonas Verdes Vale Fértil Recheadas Com Queijo Azul 130g                      | R$ 19.98
 ✅ Macarrão Da Roz C/ovos Rabo De Porco 500g                                        | R$ 3.59
 ✅ Azeitonas Verdes Vale Fértil Com Caroço 500g                                     | R$ 26.90
 ✅ Macarrão Barilla Farfalle Mini 500g                                              | R$ 18.90
 ✅ Azeitonas Verde Vale Fértil Recheadas Sachê 1,010 Kg                             | R$ 67.90
 ✅ Azeitonas Verdes Vale Fértil Recheadas Com Presunto Ibérico 130g                 | R$ 19.98
 ✅ Macarrao Barilla Fusilli 500g                                                    | R$ 18.90
 ✅ Macarrão Renata Superiore Linguini 500g                                          | R$ 9.39

   [NAVEGACAO] Acessando Página: 21 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=21
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Macarrão Adria Com Ovos Espaguete 8 500g                                         | R$ 4.89
 ✅ Macarrão Adria Com Ovos Parafuso 500g                                            | R$ 4.89
 ✅ Macarrão Adria Com Ovos Ave Maria 500g                                           | R$ 4.89
 ✅ Macarrão Renata C/ Ovos Alfabeto 500g                                            | R$ 5.39
 ✅ Macarrão Adria Com Ovos Espiral 500g                                             | R$ 4.89
 ✅ Azeitonas Verdes Vale Fértil Fatiadas 280g                                       | R$ 24.98
 ✅ Azeitonas Pretas Vale Fértil Azapa 200g                                          | R$ 29.68
 ✅ Macarrão Petybon C/ Ovos Ave Maria 500g                                          | R$ 4.99
 ✅ Azeitonas Pretas Vale Fértil Fatiadas 160g                                       | R$ 15.98
 ✅ Macarrão Adria Com Ovos Argola 500g                                              | R$ 4.89
 ✅ Macarrão Adria Com Ovos Cabelo De Anjo 500g                                      | R$ 4.89
 ✅ Macarrão Adria Com Ovos Gravata 500g                                             | R$ 4.89
 ✅ Macarrão Adria Com Ovos Espaguete 9 500g                                         | R$ 4.89
 ✅ Macarrão Adria Com Ovos Conchinha 500g                                           | R$ 4.89
 ✅ Macarrão Renata C/ Ovos Caseiro Gravata 500g                                     | R$ 9.49
 ✅ Sardinha Gomes Da Costa Com Ervas 125g                                           | R$ 6.45
 ✅ Filé De Sardinha Anchovada Gran Mar 180g                                         | R$ 37.90
 ✅ Patê De Atum Gomes Da Costa 170g                                                 | R$ 9.47
 ✅ Patê De Atum Gomes Da Costa Azeitona 170g                                        | R$ 9.47
 ✅ Atum Em Pedaço Coqueiro Óleo 170g                                                | R$ 13.98
 ✅ Sardinha Gomes Da Costa Limão 125g                                               | R$ 6.45
 ✅ Sardinha Coqueiro Ao Molho De Tomate 125g                                        | R$ 6.99
 ✅ Sardinha Gomes Da Costa Em Óleo 250g                                             | R$ 11.75
 ✅ Sardinha Pescador Em Óleo 125g                                                   | R$ 6.79
 ✅ Sardinha Coqueiro Em Óleo 125g                                                   | R$ 6.99
 ✅ Sardinha Pescador Ao Molho De Tomate 125g                                        | R$ 6.79
 ✅ Sardinha Coqueiro Ao Molho De Tomate 250g                                        | R$ 12.65
 ✅ Sardinha Gomes Da Costa Ao Molho De Tomate Picante 125g                          | R$ 6.45
 ✅ Sardinha 88 Ao Molho De Tomate 125g                                              | R$ 6.29
 ✅ Snack De Azeitona Vale Fértil Chili 50g                                          | R$ 4.49
 ✅ Grão De Bico Camil Tp 247g                                                       | R$ 8.75
 ✅ Macarrão Adria Sêmolado Espaguete 400g                                           | R$ 2.99
 ✅ Ervilha Fugini Lata 170g                                                         | R$ 6.49
 ✅ Macarrão Adria Sêmolado Penne 400g                                               | R$ 2.99
 ✅ Macarrão Adria Sêmolado Fininho 400g                                             | R$ 2.99
 ✅ Macarrão Adria Sêmolado Gravata 400g                                             | R$ 2.99
 ✅ Seleta De Legumes Predilecta Lata 1,7 Kg                                         | R$ 33.90
 ✅ Grão De Bico Knorr Lata 170g                                                     | R$ 6.85
 ✅ Macarrão Adria Sêmolado Ave Maria 400g                                           | R$ 2.99
 ✅ Ervilha Predilecta Lata 170g                                                     | R$ 3.99

   [NAVEGACAO] Acessando Página: 22 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=22
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Macarrão Renata Express Cream Queijo 88g                                         | R$ 2.39
 ✅ Macarrão Renata Express Galinha Caipira 85g                                      | R$ 2.39
 ✅ Macarrão Renata Express Carne Suave 85g                                          | R$ 2.39
 ✅ Macarrão Instântaneo Panco Lámen Cremoso Frango 85g                              | R$ 2.19
 ✅ Macarrão Nisin Ufo Legumes 95g                                                   | R$ 8.99
 ✅ Macarrão Nisin Ufo Carne 97g                                                     | R$ 8.99
 ✅ Macarrão Nisin Ufo Curry 97g                                                     | R$ 8.99
 ✅ Macarrão Nissin Lámen Galinha Caipira Picante 85g                                | R$ 3.29
 ✅ Macarrão Adria Lámen Zero Fritura Galinha 75g                                    | R$ 2.49
 ✅ Macarrão Adria Lámen Zero Fritura Carne 75g                                      | R$ 2.49
 ✅ Macarrão Adria Lámen Zero Fritura Tomate 75g                                     | R$ 2.49
 ✅ Macarrão Adria Lámen Zero Fritura Carne Suave 75g                                | R$ 2.49
 ✅ Macarrão Adria Lámen Zero Fritura Galinha Caipira 75g                            | R$ 2.49
 ✅ Macarrão Adria Lámen Zero Fritura Galinha Suave 75g                              | R$ 2.49
 ✅ Macarrão Nissin Lámen Galinha Caipira C/tomate 75g                               | R$ 3.29
 ✅ Macarrão Nissin Ufo Galinha Caipira 93g                                          | R$ 8.99
 ✅ Macarrão Nissin Cup Noodles Nacho 68g                                            | R$ 5.79
 ✅ Macarrão Nissin Cup Noodles Parmegiana 68g                                       | R$ 5.79
 ✅ Macarrão Nissin Lámen Carne Picante 85g                                          | R$ 3.29
 ✅ Macarrão Nissin Lámen Calabresa Picante 85g                                      | R$ 3.29
 ✅ Macarrão Oriental Bifum 200g                                                     | R$ 10.89
 ✅ Macarrão Renata Integrale Penne 500g                                             | R$ 9.39
 ✅ Macarrão Renata Integrale Farfalle 500g                                          | R$ 9.39
 ✅ Macarrão Oriental Bifum 500g                                                     | R$ 21.90
 ✅ Macarrão Renata Integrale Fusilli 500g                                           | R$ 9.39
 ✅ Maionese Heinz Tradicional 215g                                                  | R$ 13.65
 ✅ Maionese Hellmann`s Tradicional 500g                                             | R$ 13.98
 ✅ Maionese Suavit Tradicional 450g                                                 | R$ 6.38
 ✅ Maionese Hellmann`s Tradicional 250g                                             | R$ 8.94
 ✅ Maionese Hellmann`s Original 335g                                                | R$ 13.98
 ✅ Maionese Hellmann`s Original Sachê 400g                                          | R$ 11.98
 ✅ Maionese Heinz Tradicional 400g                                                  | R$ 20.50
 ✅ Maionese Hellmann`s Sachê 200g                                                   | R$ 6.79
 ✅ Maionese Arisco Tradicional 500g                                                 | R$ 7.99
 ✅ Batata Palha Yoki Tradicional 105g                                               | R$ 9.98
 ✅ Batata Palha Yoki Extra Fina 100g                                                | R$ 9.98
 ✅ Batata Palha Yoki Extra Fina Hot Dog 100g                                        | R$ 9.98
 ✅ Batata Palha Yoki Extra Fina Parmesão 100g                                       | R$ 9.98
 ✅ Batata Palha Yoki Extra Fina Cebola E Salsa 100g                                 | R$ 9.98
 ✅ Maionese Fugini Tradicional Sachê 180g                                           | R$ 2.99

   [NAVEGACAO] Acessando Página: 23 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=23
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Maionese Hellmann`s Verde 335g                                                   | R$ 13.98
 ✅ Maionese Quero Sachê 1,020 Kg                                                    | R$ 15.89
 ✅ Maionese Castelo Premium 380g                                                    | R$ 9.98
 ✅ Maionese Soya 500g                                                               | R$ 6.99
 ✅ Maionese Liza Tradicional 450g                                                   | R$ 6.55
 ✅ Maionese Hellmann`s Supreme 330g                                                 | R$ 14.98
 ✅ Maionese Heinz Alho Com Ervas 215g                                               | R$ 14.98
 ✅ Maionese Hellmann`s Light 335g                                                   | R$ 13.98
 ✅ Maionese Hellmann`s Tradicional Leve 600g Pague 500g                             | R$ 13.98
 ✅ Maionese Castelo Tradicional 500g                                                | R$ 7.78
 ✅ Maionese Hellmann`s Churrasco 335g                                               | R$ 13.98
 ✅ Maionese Hellmann`s Alho 335g                                                    | R$ 13.98
 ✅ Maionese Hellmann`s Tradicional Leve Mais Pague Menos 1 Kg                       | R$ 26.90
 ✅ Maionese Hellmann`s Supreme 230g                                                 | R$ 12.99
 ✅ Polpa De Tomate Predilecta Sachê 300g                                            | R$ 3.69
 ✅ Extrato De Tomate Predilecta Copo Corinthians 270g                               | R$ 19.98
 ✅ Tomate Pelado Olé Inteiros 240g                                                  | R$ 6.29
 ✅ Molho De Tomate Predilecta Manjericão Sachê 300g                                 | R$ 3.25
 ✅ Extrato De Tomate Fugini Sachê 300g                                              | R$ 3.19
 ✅ Extrato De Tomate Elefante Lata 130g                                             | R$ 4.45
 ✅ Molho De Tomate Pomarola Receitas Parmegiana Sachê 300g                          | R$ 4.65
 ✅ Molho De Tomate Fugini Passata Rústica Sachê 300g                                | R$ 3.89
 ✅ Extrato De Tomate Olé Vidro 190g                                                 | R$ 4.17
 ✅ Molho De Tomate Pomarola Cebola E Alho Vidro 420g                                | R$ 19.98
 ✅ Molho De Tomate Fugini Manjericão Sachê 300g                                     | R$ 3.89
 ✅ Molho De Tomate Pomarola Receitas Bolonhesa Sachê 300g                           | R$ 4.65
 ✅ Polpa De Tomate Pomodoro Cica Tp 520g                                            | R$ 5.99
 ✅ Extrato De Tomate Predilecta Sachê 300g                                          | R$ 3.99
 ✅ Molho De Tomate Pomarola Tradicional Tp 260g                                     | R$ 3.27
 ✅ Extrato De Tomate Olé Sachê 140g                                                 | R$ 1.99
 ✅ Molho De Tomate Val Tadicional Sachê 300g                                        | R$ 1.65
 ✅ Extrato De Tomate Quero Tp 130g                                                  | R$ 2.39
 ✅ Molho De Tomate Pomarola Sabores Manjericão Sachê 300g                           | R$ 5.39
 ✅ Extrato De Tomate Predilecta Vidro 190g                                          | R$ 6.98
 ✅ Molho De Tomate Barilla 400g Arrabbiata                                          | R$ 26.90
 ✅ Tomate Pelado Sacciali 240g                                                      | R$ 7.99
 ✅ Molho De Tomate Pomarola Manjericão Vidro 420g                                   | R$ 19.98
 ✅ Extrato De Tomate Predilecta Copo São Paulo 270g                                 | R$ 19.98
 ✅ Molho De Tomate Pomarola Tradicional Vidro 420g                                  | R$ 19.98
 ✅ Molho De Tomate Sacciali Especial 530g                                           | R$ 15.98

   [NAVEGACAO] Acessando Página: 24 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=24
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Extrato De Tomate Val Sachê 300g                                                 | R$ 3.25
 ✅ Extrato De Tomate Predilecta Sachê 140g                                          | R$ 2.69
 ✅ Polpa De Tomate Olé Sachê 300g                                                   | R$ 2.79
 ✅ Molho De Tomate Fugini Pizza Sachê 300g                                          | R$ 3.98
 ✅ Molho De Tomate Tchetto Tradicional Sachê 300g                                   | R$ 1.29
 ✅ Molho De Tomate Pomarola Sabores Azeitona Sachê 300g                             | R$ 5.39
 ✅ Molho De Tomate Predilecta Tradicional Sachê 300g                                | R$ 1.79
 ✅ Extrato De Tomate Predilecta Copo Palmeiras 270g                                 | R$ 19.98
 ✅ Molho De Tomate Sacciali Passata Rústica 520g                                    | R$ 14.98
 ✅ Extrato De Tomate Predilecta Copo 260g                                           | R$ 15.55
 ✅ Extrato De Tomate Elefante Lata 4,080 Kg                                         | R$ 79.90
 ✅ Extrato De Tomate Elefante Pote 300g                                             | R$ 6.98
 ✅ Extrato De Tomate Elefante Tp 135g                                               | R$ 3.98
 ✅ Extrato De Tomate Olé Decorado Vidro 260g                                        | R$ 7.45
 ✅ Extrato De Tomate Tchetto Sachê 300g                                             | R$ 4.45
 ✅ Molho De Tomate Predilecta Bolonhesa Sachê 300g                                  | R$ 4.98
 ✅ Molho De Tomate Predilecta Ervas Finas Sachê 300g                                | R$ 3.25
 ✅ Molho De Tomate Nor Foods Passata 680g                                           | R$ 19.98
 ✅ Molho De Tomate Tchetto Manjericão Sachê 300g                                    | R$ 2.55
 ✅ Molho De Tomate Pomarola Tradicional Sachê 300g                                  | R$ 3.25
 ✅ Molho De Tomate Pomarola Passata Sachê 300g                                      | R$ 4.95
 ✅ Molho De Tomate Pomarola Chef Azeitona Vidro 420g                                | R$ 19.98
 ✅ Molho De Tomate Olé Manjericão Vidro 320g                                        | R$ 9.29
 ✅ Molho De Tomate Tarantella Ervas Finas Sachê 300g                                | R$ 2.98
 ✅ Molho De Tomate Olé Tradicional Sachê 300g                                       | R$ 1.85
 ✅ Molho De Tomate Tarantella Tradicional Sachê 300g                                | R$ 2.19
 ✅ Molho De Tomate Olé Bolonhesa Sachê 300g                                         | R$ 3.66
 ✅ Molho De Tomate Tarantella Manjericão Sachê 300g                                 | R$ 2.98
 ✅ Molho De Tomate Olé Tradicional Vidro 320g                                       | R$ 9.29
 ✅ Molho De Tomate Olé Pizza Sachê 300g                                             | R$ 2.79
 ✅ Molho De Tomate Olé Azeitona Vidro 320g                                          | R$ 9.29
 ✅ Molho De Tomate Olé Manjericão Sachê 300g                                        | R$ 2.79
 ✅ Molho De Tomate Salsaretti Tradicional Sachê 300g                                | R$ 2.29
 ✅ Molho De Tomate Tarantella Pizza Sachê 300g                                      | R$ 2.98
 ✅ Molho De Tomate Pomarola Passata Rústica 680g                                    | R$ 22.90
 ✅ Molho De Tomate Hemmer Tradicional Sachê 300g                                    | R$ 2.98
 ✅ Molho De Tomate Pomarola Passata 700g                                            | R$ 21.80
 ✅ Tomate Pelado Nor Foods 240g                                                     | R$ 10.98
 ✅ Molho De Tomate Cirio Passata 700g                                               | R$ 16.98
 ✅ Extrato De Tomate Elefante Tp 1,04 Kg                                            | R$ 21.90

   [NAVEGACAO] Acessando Página: 25 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=25
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Extrato De Tomate Elefante Sachê 300g                                            | R$ 7.35
 ✅ Molho De Tomate Tchetto Pizza Sachê 300g                                         | R$ 2.69
 ✅ Molho De Tomate Heinz Manjericão Sachê 240g                                      | R$ 4.49
 ✅ Molho De Tomate Heinz Bolonhesa Sachê 240g                                       | R$ 4.49
 ✅ Molho De Tomate Heinz Tradicional Sachê 240g                                     | R$ 3.25
 ✅ Molho De Tomate Quero Tradicional Sachê 240g                                     | R$ 2.19
 ✅ Molho De Tomate Quero Pizza Sachê 240g                                           | R$ 2.85
 ✅ Molho De Tomate Quero Manjericão Sachê 240g                                      | R$ 2.85
 ✅ Molho De Tomate Quero Bolonhesa Sachê 300g                                       | R$ 2.85
 ✅ Molho De Tomate Pomodoro Tradicional Sachê 300g                                  | R$ 1.69
 ✅ Molho De Tomate Nor Foods Passata Rústica 680g                                   | R$ 17.98
 ✅ Molho De Tomate Vale Fértil Passata 500g                                         | R$ 16.98
 ✅ Louro Em Folhas Kitano 4g                                                        | R$ 3.19
 ✅ Orégano Siamar 10g                                                               | R$ 2.89
 ✅ Páprica Doce Siamar 20g                                                          | R$ 3.67
 ✅ Tempero Siamar Toque De Sabor Carne 50g                                          | R$ 3.38
 ✅ Tomate Cebola E Salsa Siamar 15g                                                 | R$ 4.49
 ✅ Erva Doce Siamar 20g                                                             | R$ 3.68
 ✅ Colorífico Kitano 20g                                                            | R$ 2.99
 ✅ Canela Em Casca Kitano 8g                                                        | R$ 2.39
 ✅ Cravo Em Pó Da India Siamar 20g                                                  | R$ 4.59
 ✅ Colorífico Kitano 80g                                                            | R$ 5.59
 ✅ Canela Em Pó Kitano 8g                                                           | R$ 2.19
 ✅ Canela Em Pó Siamar 40g                                                          | R$ 5.98
 ✅ Açafrão Em Pó Siamar 40g                                                         | R$ 4.89
 ✅ Cominho Em Pó Kitano 8g                                                          | R$ 2.98
 ✅ Erva Doce Kitano 8g                                                              | R$ 3.29
 ✅ Cebolinha Verde Kitano 5g                                                        | R$ 3.87
 ✅ Ervas Finas Siamar 10g                                                           | R$ 2.99
 ✅ Sal Para Churrasco Lebre 1 Kg                                                    | R$ 2.79
 ✅ Alho, Cebola E Salsa Siamar 25g                                                  | R$ 4.76
 ✅ Bicarbonato De Sódio Kitano 30g                                                  | R$ 2.49
 ✅ Orégano Kitano 3g                                                                | R$ 2.15
 ✅ Canela Em Casca Kitano 20g                                                       | R$ 6.89
 ✅ Manjericão Kitano 7g                                                             | R$ 3.39
 ✅ Noz Moscada Bola Siamar 7g                                                       | R$ 4.59
 ✅ Colorífico Siamar 50g                                                            | R$ 2.87
 ✅ Coentro Em Pó Siamar 20g                                                         | R$ 2.76
 ✅ Sal Amoníaco Siamar 50g                                                          | R$ 3.09
 ✅ Molho Shoyu Sakura Tradicional 1 L                                               | R$ 27.90

   [NAVEGACAO] Acessando Página: 26 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=26
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Noz Moscada Kitano 8g                                                            | R$ 7.29
 ✅ Colorífico Siamar 500g                                                           | R$ 14.98
 ✅ Curry Siamar 25g                                                                 | R$ 4.27
 ✅ Salsa Desidratada Siamar 10g                                                     | R$ 2.55
 ✅ Gengibre Em Pó Kitano 15g                                                        | R$ 4.45
 ✅ Tempero Siamar Lemon Pepper 30g                                                  | R$ 5.65
 ✅ Canela Em Rama Siamar 20g                                                        | R$ 4.99
 ✅ Manjericão Siamar 10g                                                            | R$ 2.49
 ✅ Cravo Da Índia Siamar 10g                                                        | R$ 4.29
 ✅ Pimenta Do Reino Em Grãos Kitano 15g                                             | R$ 4.76
 ✅ Cebolinha Desidratada Siamar 7g                                                  | R$ 2.55
 ✅ Cebola, Alho E Salsa Kitano 40g                                                  | R$ 6.98
 ✅ Cravo Da Índia Kitano 40g                                                        | R$ 15.37
 ✅ Tempero Siamar Toque De Sabor Aves 50g                                           | R$ 3.38
 ✅ Bicarbonato De Sódio Siamar 50g                                                  | R$ 2.89
 ✅ Louro Em Folhas Siamar 7g                                                        | R$ 2.76
 ✅ Orégano Kitano 15g                                                               | R$ 5.65
 ✅ Tomilho Kitano 10g                                                               | R$ 3.88
 ✅ Orégano Siamar 200g                                                              | R$ 18.99
 ✅ Tempero Siamar Toque De Sabor Legumes 50g                                        | R$ 3.38
 ✅ Alecrim Desidratado Kitano 6g                                                    | R$ 3.27
 ✅ Orégano Kitano 10g                                                               | R$ 4.45
 ✅ Óleo De Gergelim Istambul 100ml                                                  | R$ 21.90
 ✅ Tempero Siamar Toque De Sabor Nordeste 50g                                       | R$ 3.38
 ✅ Páprica Picante Siamar 20g                                                       | R$ 3.67
 ✅ Louro Em Pó Kitano 12g                                                           | R$ 7.27
 ✅ Cebola Granulada Kitano 20g                                                      | R$ 4.29
 ✅ Mistura Pronta Para Empanar Siamar Milanesa 300g                                 | R$ 7.89
 ✅ Chimichurri Kitano 12g                                                           | R$ 6.48
 ✅ Pimenta Siria Em Pó Siamar 30g                                                   | R$ 9.98
 ✅ Canela Em Pó Kitano 50g                                                          | R$ 8.95
 ✅ Pimenta Do Reino Em Pó Branca 15g                                                | R$ 5.75
 ✅ Pimenta Do Reino Em Pó Kitano 15g                                                | R$ 4.39
 ✅ Açafrão Em Pó Kitano 50g                                                         | R$ 8.99
 ✅ Bicarbonato De Sódio Kitano 80g                                                  | R$ 5.99
 ✅ Cravo Da Índia Kitano 8g                                                         | R$ 4.59
 ✅ Curry Kitano 50g                                                                 | R$ 7.55
 ✅ Chimichurri Siamar 15g                                                           | R$ 2.99
 ✅ Coentro Em Pó Kitano 10g                                                         | R$ 2.79
 ✅ Pimenta Do Reino Em Pó Kitano 50g                                                | R$ 10.85

   [NAVEGACAO] Acessando Página: 27 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=27
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Orégano Siamar 50g                                                               | R$ 5.99
 ✅ Pimenta Do Reino Com Cominho Em Pó Kitano 15g                                    | R$ 5.47
 ✅ Alecrim Desidratado Siamar 15g                                                   | R$ 2.39
 ✅ Cheiro Verde Siamar 7g                                                           | R$ 2.55
 ✅ Alho Granulado Siamar 30g                                                        | R$ 4.98
 ✅ Páprica Defumada Siamar 20g                                                      | R$ 3.67
 ✅ Alho, Cebola E Salsa Zilio 15g                                                   | R$ 4.39
 ✅ Bicarbonato De Sódio Zilio 40g                                                   | R$ 3.89
 ✅ Bicarbonato De Sódio Zilio 500g                                                  | R$ 11.98
 ✅ Canela Em Pó Zilio 10g                                                           | R$ 4.47
 ✅ Camomila Zilio 7g                                                                | R$ 2.69
 ✅ Bicarbonato De Sódio Siamar 250g                                                 | R$ 7.85
 ✅ Canela Em Rama Zilio 10g                                                         | R$ 4.47
 ✅ Cheiro Verde Zilio 7g                                                            | R$ 2.65
 ✅ Colorífico Zilio 500g                                                            | R$ 10.98
 ✅ Erva Doce Zilio 15g                                                              | R$ 3.99
 ✅ Chimichurri Zilio 15g                                                            | R$ 4.49
 ✅ Ervas Finas Zilio 7g                                                             | R$ 2.07
 ✅ Colorífico Zilio 40g                                                             | R$ 1.98
 ✅ Orégano Zilio 7g                                                                 | R$ 1.89
 ✅ Gergelim Siamar 200g                                                             | R$ 16.90
 ✅ Orégano Zilio 100g                                                               | R$ 7.49
 ✅ Gengibre Em Pó Zilio 15g                                                         | R$ 5.39
 ✅ Louro Em Folhas Zilio 5g                                                         | R$ 1.98
 ✅ Gergelim Branco Zilio 150g                                                       | R$ 11.69
 ✅ Pimenta Do Reino Em Gãos Zilio 30g                                               | R$ 6.35
 ✅ Pimenta Comari Tchetto 75g                                                       | R$ 14.96
 ✅ Pimenta Biquinho Tchetto 310g                                                    | R$ 21.98
 ✅ Pimenta Do Reino Em Pó Zilio 30g                                                 | R$ 6.35
 ✅ Pimenta Malagueta Tchetto 75g                                                    | R$ 12.27
 ✅ Pimenta Do Reino Em Pó Zilio 50g                                                 | R$ 10.65
 ✅ Pimenta Do Reino Com Cominho Zilio 50g                                           | R$ 6.99
 ✅ Pimenta Calabresa Em Pó Zilio 20g                                                | R$ 3.59
 ✅ Vinagrete Zilio 15g                                                              | R$ 4.45
 ✅ Pimenta Malagueta Zilio 70g                                                      | R$ 10.79
 ✅ Pimenta Cumari Zilio 75g                                                         | R$ 15.98
 ✅ Pimenta Calabresa Em Flocos Zilio 20g                                            | R$ 3.59
 ✅ Sal Amoníaco Zilio 40g                                                           | R$ 2.75
 ✅ Salsa Desidratada Zilio 7g                                                       | R$ 2.15
 ✅ Sal Do Himalaia Natural Life Moído 500g                                          | R$ 11.99

   [NAVEGACAO] Acessando Página: 28 | URL: https://www.supercentralonline.com.br/departamentos/mercearia?page=28
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Alho Granulado Kitano 60g                                                        | R$ 7.37
 ✅ Tempero Zilio Lemon Pepper 20g                                                   | R$ 4.49
 ✅ Cominho Em Pó Kitano 60g                                                         | R$ 13.78
 ✅ Sopa Maggi Cebola Sachê 68g                                                      | R$ 7.99
 ✅ Sopão Maggi Carne/macarrão E Legumes Sachê 200g                                  | R$ 14.89
 ✅ Sopão Kitano Galinha 196g                                                        | R$ 10.47
 ✅ Creme De Cebola Siamar 65g                                                       | R$ 4.49
 ✅ Creme De Cebola Kitano 65g                                                       | R$ 10.25
 ✅ Sopão Maggi Galinha Caipira Com Legumes Sachê 200g                               | R$ 14.89
 ✅ Creme De Cebola Vono 58g                                                         | R$ 7.98
 ✅ Sopão Maggi Galinha/macarrão E Legumes Sachê 200g                                | R$ 14.89
 ✅ Sopa De Cebola Siamar 65g                                                        | R$ 4.49
 ✅ Sopão Maggi Menos Sódio Galinha 150g                                             | R$ 15.69
 ✅ Creme De Queijo Vono 53g                                                         | R$ 7.98
 ✅ Creme De Cebola Maggi Sachê 68g                                                  | R$ 8.49
 ✅ Sopão Maggi Costela Sachê 200g                                                   | R$ 14.89
 ✅ Sopão Maggi Canjão Galinha Sachê 200g                                            | R$ 14.89
 ✅ Sopão Maggi Carne De Panela Sachê 200g                                           | R$ 14.89
 ✅ Sopa Maggi Galinha Com Fidelini Sachê 60g                                        | R$ 7.99
 ✅ Creme De Cebola Tchetto 60g                                                      | R$ 4.99
 ✅ Sopa Vono Abóbora Com Carne 17g                                                  | R$ 3.35
 ✅ Creme De Cebola Arisco 61g                                                       | R$ 11.15
 ✅ Sopa Vono Mandioquinha Com Cebola E Salsa 17g                                    | R$ 3.35
 ✅ Creme De Cebola Knorr 60g                                                        | R$ 13.98
 ✅ Sopa Vono Batata Com Carne 18g                                                   | R$ 3.19
 ✅ Sopão Kitano Carne 196g                                                          | R$ 10.47
 ✅ Sopa Vono Milho Com Frango 18g                                                   | R$ 3.19
 ✅ Sopão Kitano Legumes 196g                                                        | R$ 10.47
 ✅ Sopa Vono Peito De Frango Com Queijo 17g                                         | R$ 3.35
 ✅ Creme Maggi Cebola Com Bacon 61g                                                 | R$ 8.49
 ✅ Pepino Em Conserva Chtoura Gardem 360g                                           | R$ 31.98
 ✅ Tempero Taybe Lyye 50g                                                           | R$ 19.98
 ✅ Molho Shoyu Siamar 150ml                                                         | R$ 4.35
 ✅ Molho Yakissoba Predilecta Sachê 300g                                            | R$ 7.88
